dpmgid,id,location_type,url,organization_id,name,alternate_name,description,transportation,latitude,longitude,external_identifier,external_identifier_type
54,reccf9u4qpqDLXAaa,physical,,recaE9gXVZrgqZF5T,"6506 Wright Way, Saint Louis, MO 63121",,,,,,,
54,recEk3qa33ZInHQVq,physical,,recaCtWK7skhtn9yX,"8428 Delmar Blvd, Saint Louis, MO 63124",,,,,,,
54,recjwXq8vXJR2bfic,physical,,recl4P0Uy6k5CrEhk,"4333 Goodfellow Blvd, Saint Louis, MO 63120",,,,,,,
54,recnCNtKwKDXdRVrC,physical,,rec0UewdNpin4ZLlF,"729 Lemay Ferry Road, St. Louis, MO 63125",,,,,,,
